"distrito","codigo_sie","unidad_educativa","x","y","estado","nivel_educativo","luz_electrica","agua_potable","alcantarillado","pozo_septico","baños","lava_manos","internet","laboratorios","sala_computacion","turno","nombre_mañana","nombre_tarde","nombre_noche","pob","pob_mañana","pob_tarde","pob_noche"
"D-14","40730514","DIONICIO MORALES","581131.124128","8175966.71178","Regular","I-P-S","Sí","Sí","Sí","No","Sí","No","No","No","No","Mañana","DIONICIO MORALES","NA","NA","474","474","NA","NA"
"D-14","40730198","EL CARMEN","582350.649736","8179956.33342","Regular","I-P-S","Sí","Sí","No","Sí","Sí","Sí","No","Sí","No","Mañana","EL CARMEN","NA","NA","467","467","NA","NA"
"D-14","40730373","FRANZ TAMAYO DE RIO SECO A","579631.168444","8174743.01944","Regular","I-P","Sí","Sí","No","Sí","Sí","Sí","No","Sí","Sí","Mañana","FRANZ TAMAYO DE RIO SECO A","NA","NA","812","812","NA","NA"
"D-14","40730635","FRANZ TAMAYO DE RIO SECO B","579631.168444","8174743.01944","Regular","S","NA","NA","NA","NA","Sí","Sí","No","Sí","Sí","Tarde","NA","FRANZ TAMAYO DE RIO SECO B","NA","571","NA","571","NA"
"D-14","40730402","GUALBERTO VILLARROEL","582307.999274","8178435.21194","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","No","Sí","Sí","Mañana","GUALBERTO VILLARROEL","GUALBERTO VILLARROEL","NA","885","885","NA","NA"
"D-14","40730553","HABANA CUBA","580682.357954","8176100.40613","Regular","I-P","Sí","Sí","Sí","No","Sí","No","No","No","No","Mañana","HABANA CUBA","NA","NA","239","239","NA","NA"
"D-14","40730441","HUMBERTO PORTOCARRERO TARDE","580509.244535","8175450.61837","Regular","S","Sí","Sí","No","Sí","Sí","Sí","No","No","No","Tarde","NA","HUMBERTO PORTOCARRERO TARDE","NA","737","NA","737","NA"
"D-14","40730597","HUMBERTO PORTOCARRERO MAÑANA","580509.244535","8175450.61837","Regular","I-P","NA","NA","NA","NA","Sí","Sí","No","No","No","Mañana","HUMBERTO PORTOCARRERO MAÑANA","NA","NA","1024","1024","NA","NA"
"D-14","40730491","JUANCITO PINTO","581705.480171","8176083.36049","Malo","I-P-S","Sí","Sí","Sí","No","Sí","Sí","No","No","No","Mañana","JUANCITO PINTO","NA","NA","336","336","NA","NA"
"D-14","40730442","KOLLASUYO","581204.659683","8177022.66444","Regular","I-P-S","Sí","Sí","No","Sí","Sí","Sí","No","No","No","Mañana","KOLLASUYO","NA","NA","752","752","NA","NA"
"D-14","40730469","LATINOAMERICANO","581774.61816","8178395.94904","Malo","I-P-S","Sí","Sí","Sí","No","Sí","Sí","No","No","No","Mañana","LATINOAMERICANO","NA","NA","759","759","NA","NA"
"D-14","40730527","LIBERTAD FRANZ TAMAYO A","578781.856082","8175465.80122","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","No","Mañana","LIBERTAD FRANZ TAMAYO A","NA","NA","884","884","NA","NA"
"D-14","40730683","LIBERTAD FRANZ TAMAYO B","578781.856082","8175465.80122","Regular","S","NA","NA","NA","NA","Sí","Sí","No","No","No","Mañana","LIBERTAD FRANZ TAMAYO B","NA","NA","","NA","NA","NA"
"D-14","40730545","MARIA AYMA MAMANI","580513.280908","8176817.91818","Regular","I-P","Sí","Sí","No","Sí","Sí","Sí","No","Sí","Sí","Mañana","MARIA AYMA MAMANI","NA","NA","389","389","NA","NA"
"D-14","40730505","MANUEL RIGOBERTO PAREDES","584169.462033","8179268.1069","Regular","I-P-S","Sí","Sí","No","Sí","Sí","No","No","Sí","Sí","Mañana","MANUEL RIGOBERTO PAREDES","NA","NA","525","525","NA","NA"
"D-14","40730617","MILLUNI","580953.97","8178513.46","Malo","I-P","Sí","Sí","Sí","No","Sí","No","No","No","No","Mañana","MILLUNI","NA","NA","106","106","NA","NA"
"D-14","40730646","OSCAR ALFARO B MAÑANA","581509.270816","8176622.94266","Regular","S","Sí","Sí","Sí","No","Sí","Sí","No","Sí","Sí","Mañana","OSCAR ALFARO B","NA","NA","616","616","NA","NA"
"D-14","40730148","OSCAR ALFARO B TARDE","581509.270816","8176622.94266","Regular","I-P","NA","NA","NA","NA","Sí","Sí","No","Sí","Sí","Tarde","NA","OSCAR ALFARO B","NA","786","NA","786","NA"
"D-14","40730497","PATRIA NUEVA","581201.645611","8177729.22236","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","No","No","No","Mañana","PATRIA NUEVA","NA","NA","596","596","NA","NA"
"D-14","40730589","REPUBLICA DE MEXICO","583205.16","8179124.42","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","No","Mañana","REPUBLICA DE MEXICO","NA","NA","172","172","NA","NA"
"D-14","40730589","REP. FEDERAL DE ALEMANIA","582077.254984","8177863.97309","Regular","I-P-S","Sí","Sí","Sí","No","Sí","No","No","Sí","No","Mañana","REP. FEDERAL DE ALEMANIA","NA","NA","1533","1533","NA","NA"
"D-14","40730397","VENEZUELA A","579734.041658","8175218.77668","Regular","I-P","Sí","Sí","Sí","No","Sí","No","No","No","No","Tarde","NA","VENEZUELA A","NA","683","NA","683","NA"
"D-14","40730634","VENEZUELA B","579734.041658","8175218.77668","Regular","S","NA","NA","NA","NA","Sí","No","No","No","No","Mañana","VENEZUELA B","NA","NA","562","562","NA","NA"
"D-14","40730183","VILLA COOPERATIVA A","582708.645009","8178617.03202","Malo","I-P","Sí","Sí","Sí","No","Sí","Sí","No","Sí","No","Mañana","VILLA COOPERATIVA A","NA","NA","660","660","NA","NA"
"D-14","40730633","VILLA COOPERATIVA B","582708.645009","8178617.03202","Malo","S","NA","NA","NA","NA","Sí","Sí","No","Sí","No","Tarde","NA","VILLA COOPERATIVA B","NA","475","NA","475","NA"
